regions;Unit;Date;Value;Value.1;Couverture
Tambacounda;;2008;495484;1;495484
Tambacounda;;2009;508223;1;508223
Tambacounda;;2010;521289;1;521289
Tambacounda;;2011;534691;1;534691
Tambacounda;;2012;548438;1;548438
Tambacounda;;2013;562538;1;562538
Tambacounda;;2015;607285;1;607285
Tambacounda;;2016;631159;1;631159
Tambacounda;;2017;656102;1;656102
Tambacounda;;2018;682171;1;682171
Thiès;;2008;407248;2;203624
Thiès;;2009;416012;3;138670.666666667
Thiès;;2010;424964;5;84992.8
Thiès;;2011;434109;5;86821.8
Thiès;;2012;443451;3;147817
Thiès;;2013;452994;3;150998
Thiès;;2015;477126;3;159042
Thiès;;2016;489672;3;163224
Thiès;;2017;502548;3;167516
Thiès;;2018;515764;3;171921.333333333
Ziguinchor;;2005;749264;1;749264
Ziguinchor;;2006;767578;1;767578
Ziguinchor;;2007;786340;2;393170
Ziguinchor;;2008;805560;1;805560
Ziguinchor;;2009;825250;2;412625
Ziguinchor;;2010;845421;2;422710.5
Ziguinchor;;2011;866085;1;866085
Ziguinchor;;2012;887255;1;887255
Ziguinchor;;2013;908942;1;908942
Ziguinchor;;2015;960232;2;480116
Ziguinchor;;2016;987145;2;493572.5
Ziguinchor;;2017;1014949;2;507474.5
Ziguinchor;;2018;1043675;2;521837.5
