regions;Date;nouvelle_valeur;Value_ansd2;Value_ansd3;senegal_value
Dakar;2005;180289.40495867783;8;495795.863636364;22
Dakar;2006;185174.52892562;8;509229.954545455;22
Dakar;2007;190192.03305785128;8;523028.090909091;22
Dakar;2008;219763.67355371907;9;537200.090909091;22
Dakar;2009;174796.3296;9;485545.36;25
Dakar;2010;176012.37176470587;12;498701.72;34
Dakar;2011;132927.65397923894;12;376628.352941177;34
Dakar;2012;150312.4457142856;12;375781.114285714;30
Dakar;2013;174306.0;12;435765.0;30
Dakar;2015;161449.26038062287;13;422251.911764706;34
Dakar;2016;166434.6479238755;13;435290.617647059;34
Dakar;2017;171568.06228373692;13;448716.470588235;34
Dakar;2018;185012.42352941158;14;462531.058823529;35
Diourbel;2005;45072.35123966946;2;495795.863636364;22
Diourbel;2006;46293.632231405;2;509229.954545455;22
Diourbel;2007;47548.00826446282;2;523028.090909091;22
Diourbel;2008;48836.37190082646;2;537200.090909091;22
Diourbel;2009;38843.6288;2;485545.36;25
Diourbel;2010;44003.09294117647;3;498701.72;34
Diourbel;2011;33231.913494809734;3;376628.352941177;34
Diourbel;2012;37578.1114285714;3;375781.114285714;30
Diourbel;2013;43576.5;3;435765.0;30
Diourbel;2015;37257.52162629759;3;422251.911764706;34
Diourbel;2016;38407.9956747405;3;435290.617647059;34
Diourbel;2017;39592.62975778544;3;448716.470588235;34
Diourbel;2018;39645.51932773106;3;462531.058823529;35
Fatick;2005;22536.17561983473;1;495795.863636364;22
Fatick;2006;23146.8161157025;1;509229.954545455;22
Fatick;2007;23774.00413223141;1;523028.090909091;22
Fatick;2009;19421.8144;1;485545.36;25
Fatick;2010;14667.697647058823;1;498701.72;34
Fatick;2011;11077.304498269912;1;376628.352941177;34
Fatick;2012;0.0;0;375781.114285714;30
Fatick;2013;0.0;0;435765.0;30
Fatick;2015;12419.17387543253;1;422251.911764706;34
Fatick;2016;12802.6652249135;1;435290.617647059;34
Fatick;2017;13197.543252595147;1;448716.470588235;34
Fatick;2018;13215.173109243686;1;462531.058823529;35
Kaffrine;2009;0.0;0;485545.36;25
Kaffrine;2010;14667.697647058823;1;498701.72;34
Kaffrine;2011;11077.304498269912;1;376628.352941177;34
Kaffrine;2012;12526.037142857132;1;375781.114285714;30
Kaffrine;2013;14525.5;1;435765.0;30
Kaffrine;2015;12419.17387543253;1;422251.911764706;34
Kaffrine;2016;12802.6652249135;1;435290.617647059;34
Kaffrine;2017;13197.543252595147;1;448716.470588235;34
Kaffrine;2018;13215.173109243686;1;462531.058823529;35
Kaolack;2005;22536.17561983473;1;495795.863636364;22
Kaolack;2006;23146.8161157025;1;509229.954545455;22
