regions;Date;nouvelle_valeur;Value_ansd2;Value_ansd3;senegal_value
Kaolack;2007;23774.00413223141;1;523028.090909091;22
Kaolack;2008;24418.18595041323;1;537200.090909091;22
Kaolack;2009;19421.8144;1;485545.36;25
Kaolack;2010;14667.697647058823;1;498701.72;34
Kaolack;2011;11077.304498269912;1;376628.352941177;34
Kaolack;2012;12526.037142857132;1;375781.114285714;30
Kaolack;2013;14525.5;1;435765.0;30
Kaolack;2015;12419.17387543253;1;422251.911764706;34
Kaolack;2016;12802.6652249135;1;435290.617647059;34
Kaolack;2017;13197.543252595147;1;448716.470588235;34
Kaolack;2018;13215.173109243686;1;462531.058823529;35
Kédougou;2008;24418.18595041323;1;537200.090909091;22
Kédougou;2009;19421.8144;1;485545.36;25
Kédougou;2010;14667.697647058823;1;498701.72;34
Kédougou;2011;11077.304498269912;1;376628.352941177;34
Kédougou;2012;0.0;0;375781.114285714;30
Kédougou;2013;0.0;0;435765.0;30
Kédougou;2015;0.0;0;422251.911764706;34
Kédougou;2016;0.0;0;435290.617647059;34
Kédougou;2017;0.0;0;448716.470588235;34
Kédougou;2018;0.0;0;462531.058823529;35
Kolda;2005;22536.17561983473;1;495795.863636364;22
Kolda;2006;23146.8161157025;1;509229.954545455;22
Kolda;2007;23774.00413223141;1;523028.090909091;22
Kolda;2008;24418.18595041323;1;537200.090909091;22
Kolda;2009;19421.8144;1;485545.36;25
Kolda;2010;14667.697647058823;1;498701.72;34
Kolda;2011;11077.304498269912;1;376628.352941177;34
Kolda;2012;12526.037142857132;1;375781.114285714;30
Kolda;2013;14525.5;1;435765.0;30
Kolda;2015;12419.17387543253;1;422251.911764706;34
Kolda;2016;12802.6652249135;1;435290.617647059;34
Kolda;2017;13197.543252595147;1;448716.470588235;34
Kolda;2018;13215.173109243686;1;462531.058823529;35
Louga;2005;22536.17561983473;1;495795.863636364;22
Louga;2006;23146.8161157025;1;509229.954545455;22
Louga;2007;23774.00413223141;1;523028.090909091;22
Louga;2008;24418.18595041323;1;537200.090909091;22
Louga;2009;19421.8144;1;485545.36;25
Louga;2010;14667.697647058823;1;498701.72;34
Louga;2011;22154.608996539824;2;376628.352941177;34
Louga;2012;25052.074285714265;2;375781.114285714;30
Louga;2013;29051.0;2;435765.0;30
Louga;2015;24838.34775086506;2;422251.911764706;34
Louga;2016;25605.330449827;2;435290.617647059;34
Louga;2017;26395.086505190295;2;448716.470588235;34
Louga;2018;26430.34621848737;2;462531.058823529;35
Matam;2005;22536.17561983473;1;495795.863636364;22
Matam;2006;23146.8161157025;1;509229.954545455;22
Matam;2007;23774.00413223141;1;523028.090909091;22
Matam;2008;24418.18595041323;1;537200.090909091;22
Matam;2009;19421.8144;1;485545.36;25
Matam;2010;14667.697647058823;1;498701.72;34
Matam;2011;11077.304498269912;1;376628.352941177;34
Matam;2012;12526.037142857132;1;375781.114285714;30
Matam;2013;14525.5;1;435765.0;30
Matam;2015;24838.34775086506;2;422251.911764706;34
Matam;2016;25605.330449827;2;435290.617647059;34
Matam;2017;26395.086505190295;2;448716.470588235;34
Matam;2018;26430.34621848737;2;462531.058823529;35
Saint-Louis;2005;45072.35123966946;2;495795.863636364;22
Saint-Louis;2006;46293.632231405;2;509229.954545455;22
Saint-Louis;2007;47548.00826446282;2;523028.090909091;22
Saint-Louis;2008;48836.37190082646;2;537200.090909091;22
Saint-Louis;2009;38843.6288;2;485545.36;25
Saint-Louis;2010;44003.09294117647;3;498701.72;34
Saint-Louis;2011;33231.913494809734;3;376628.352941177;34
Saint-Louis;2012;37578.1114285714;3;375781.114285714;30
Saint-Louis;2013;43576.5;3;435765.0;30
Saint-Louis;2015;37257.52162629759;3;422251.911764706;34
Saint-Louis;2016;38407.9956747405;3;435290.617647059;34
Saint-Louis;2017;39592.62975778544;3;448716.470588235;34
Saint-Louis;2018;39645.51932773106;3;462531.058823529;35
Sédhiou;2009;0.0;0;485545.36;25
Sédhiou;2010;14667.697647058823;1;498701.72;34
Sédhiou;2011;11077.304498269912;1;376628.352941177;34
Sédhiou;2012;12526.037142857132;1;375781.114285714;30
Sédhiou;2013;14525.5;1;435765.0;30
Sédhiou;2015;12419.17387543253;1;422251.911764706;34
Sédhiou;2016;12802.6652249135;1;435290.617647059;34
Sédhiou;2017;13197.543252595147;1;448716.470588235;34
Sédhiou;2018;13215.173109243686;1;462531.058823529;35
Tambacounda;2005;45072.35123966946;2;495795.863636364;22
Tambacounda;2006;46293.632231405;2;509229.954545455;22
Tambacounda;2007;23774.00413223141;1;523028.090909091;22
Tambacounda;2008;24418.18595041323;1;537200.090909091;22
Tambacounda;2009;19421.8144;1;485545.36;25
Tambacounda;2010;14667.697647058823;1;498701.72;34
Tambacounda;2011;11077.304498269912;1;376628.352941177;34
Tambacounda;2012;12526.037142857132;1;375781.114285714;30
Tambacounda;2013;14525.5;1;435765.0;30
Tambacounda;2015;12419.17387543253;1;422251.911764706;34
Tambacounda;2016;12802.6652249135;1;435290.617647059;34
Tambacounda;2017;13197.543252595147;1;448716.470588235;34
Tambacounda;2018;13215.173109243686;1;462531.058823529;35
Thiès;2005;45072.35123966946;2;495795.863636364;22
Thiès;2006;46293.632231405;2;509229.954545455;22
Thiès;2007;47548.00826446282;2;523028.090909091;22
Thiès;2008;48836.37190082646;2;537200.090909091;22
Thiès;2009;58265.4432;3;485545.36;25
Thiès;2010;73338.4882352941;5;498701.72;34
Thiès;2011;55386.52249134956;5;376628.352941177;34
Thiès;2012;37578.1114285714;3;375781.114285714;30
Thiès;2013;43576.5;3;435765.0;30
Thiès;2015;37257.52162629759;3;422251.911764706;34
Thiès;2016;38407.9956747405;3;435290.617647059;34
Thiès;2017;39592.62975778544;3;448716.470588235;34
Thiès;2018;39645.51932773106;3;462531.058823529;35
Ziguinchor;2005;22536.17561983473;1;495795.863636364;22
Ziguinchor;2006;23146.8161157025;1;509229.954545455;22
Ziguinchor;2007;47548.00826446282;2;523028.090909091;22
Ziguinchor;2008;24418.18595041323;1;537200.090909091;22
Ziguinchor;2009;38843.6288;2;485545.36;25
Ziguinchor;2010;29335.395294117647;2;498701.72;34
Ziguinchor;2011;11077.304498269912;1;376628.352941177;34
Ziguinchor;2012;12526.037142857132;1;375781.114285714;30
Ziguinchor;2013;14525.5;1;435765.0;30
Ziguinchor;2015;24838.34775086506;2;422251.911764706;34
Ziguinchor;2016;25605.330449827;2;435290.617647059;34
Ziguinchor;2017;26395.086505190295;2;448716.470588235;34
Ziguinchor;2018;26430.34621848737;2;462531.058823529;35
